id,subject,language,grade,chapter,chapterName,number,pattern,question,options
math-uz-6-1-1-1,math,uz,6,1,1-bob,1,1,Qaysi son 3:8 ga teskari son?,"""1:8"",""8"",""[*]8:3"",""-3:8"""
math-uz-6-1-2-1,math,uz,6,1,1-bob,2,1,Qaysi son 1{2\over3} ga teskari son?,"""[*]3:5"",""5:3"",""1{3\over2}"",""-3:5"""
math-uz-6-1-3-1,math,uz,6,1,1-bob,3,1,Qaysi son 2{3\over5}+3{4\over5} ga teskari son?,"""5"",""32:5"",""[*]5:32"",""5:7"""
math-uz-6-1-4-1,math,uz,6,1,1-bob,4,1,,
math-uz-6-1-5-1,math,uz,6,1,1-bob,5,1,,
math-uz-6-1-6-1,math,uz,6,1,1-bob,6,1,,
math-uz-6-1-7-1,math,uz,6,1,1-bob,7,1,,
math-uz-6-1-8-1,math,uz,6,1,1-bob,8,1,,
math-uz-6-1-9-1,math,uz,6,1,1-bob,9,1,,
math-uz-6-1-10-1,math,uz,6,1,1-bob,10,1,,
math-uz-6-2-11-1,math,uz,6,2,2-bob,11,1,,
math-uz-6-2-12-1,math,uz,6,2,2-bob,12,1,,
math-uz-6-2-13-1,math,uz,6,2,2-bob,13,1,,
math-uz-6-2-14-1,math,uz,6,2,2-bob,14,1,,
math-uz-6-2-15-1,math,uz,6,2,2-bob,15,1,,
math-uz-6-2-16-1,math,uz,6,2,2-bob,16,1,,
math-uz-6-2-17-1,math,uz,6,2,2-bob,17,1,,
math-uz-6-2-18-1,math,uz,6,2,2-bob,18,1,,
math-uz-6-2-19-1,math,uz,6,2,2-bob,19,1,,
math-uz-6-2-20-1,math,uz,6,2,2-bob,20,1,,
math-uz-6-3-21-1,math,uz,6,3,,21,1,,
math-uz-6-3-22-1,math,uz,6,3,,22,1,,
math-uz-6-3-23-1,math,uz,6,3,,23,1,,
math-uz-6-3-24-1,math,uz,6,3,,24,1,,
math-uz-6-3-25-1,math,uz,6,3,,25,1,,
math-uz-6-3-26-1,math,uz,6,3,,26,1,,
math-uz-6-3-27-1,math,uz,6,3,,27,1,,
math-uz-6-3-28-1,math,uz,6,3,,28,1,,
math-uz-6-3-29-1,math,uz,6,3,,29,1,,
math-uz-6-3-30-1,math,uz,6,3,,30,1,,
math-uz-6-4-31-1,math,uz,6,4,,31,1,,
math-uz-6-4-32-1,math,uz,6,4,,32,1,,
math-uz-6-4-33-1,math,uz,6,4,,33,1,,
math-uz-6-4-34-1,math,uz,6,4,,34,1,,
math-uz-6-4-35-1,math,uz,6,4,,35,1,,
math-uz-6-4-36-1,math,uz,6,4,,36,1,,
math-uz-6-4-37-1,math,uz,6,4,,37,1,,
math-uz-6-4-38-1,math,uz,6,4,,38,1,,
math-uz-6-4-39-1,math,uz,6,4,,39,1,,
math-uz-6-4-40-1,math,uz,6,4,,40,1,,
math-uz-6-5-41-1,math,uz,6,5,,41,1,,
math-uz-6-5-42-1,math,uz,6,5,,42,1,,
math-uz-6-5-43-1,math,uz,6,5,,43,1,,
math-uz-6-5-44-1,math,uz,6,5,,44,1,,
math-uz-6-5-45-1,math,uz,6,5,,45,1,,
math-uz-6-5-46-1,math,uz,6,5,,46,1,,
math-uz-6-5-47-1,math,uz,6,5,,47,1,,
math-uz-6-5-48-1,math,uz,6,5,,48,1,,
math-uz-6-5-49-1,math,uz,6,5,,49,1,,
math-uz-6-5-50-1,math,uz,6,5,,50,1,,
math-uz-6-6-51-1,math,uz,6,6,,51,1,,
math-uz-6-6-52-1,math,uz,6,6,,52,1,,
math-uz-6-6-53-1,math,uz,6,6,,53,1,,
math-uz-6-6-54-1,math,uz,6,6,,54,1,,
math-uz-6-6-55-1,math,uz,6,6,,55,1,,
math-uz-6-6-56-1,math,uz,6,6,,56,1,,
math-uz-6-6-57-1,math,uz,6,6,,57,1,,
math-uz-6-6-58-1,math,uz,6,6,,58,1,,
math-uz-6-6-59-1,math,uz,6,6,,59,1,,
math-uz-6-6-60-1,math,uz,6,6,,60,1,,
math-uz-6-7-61-1,math,uz,6,7,,61,1,,
math-uz-6-7-62-1,math,uz,6,7,,62,1,,
math-uz-6-7-63-1,math,uz,6,7,,63,1,,
math-uz-6-7-64-1,math,uz,6,7,,64,1,,
math-uz-6-7-65-1,math,uz,6,7,,65,1,,
math-uz-6-7-66-1,math,uz,6,7,,66,1,,
math-uz-6-7-67-1,math,uz,6,7,,67,1,,
math-uz-6-7-68-1,math,uz,6,7,,68,1,,
math-uz-6-7-69-1,math,uz,6,7,,69,1,,
math-uz-6-7-70-1,math,uz,6,7,,70,1,,
math-uz-6-8-71-1,math,uz,6,8,,71,1,,
math-uz-6-8-72-1,math,uz,6,8,,72,1,,
math-uz-6-8-73-1,math,uz,6,8,,73,1,,
math-uz-6-8-74-1,math,uz,6,8,,74,1,,
math-uz-6-8-75-1,math,uz,6,8,,75,1,,
math-uz-6-8-76-1,math,uz,6,8,,76,1,,
math-uz-6-8-77-1,math,uz,6,8,,77,1,,
math-uz-6-8-78-1,math,uz,6,8,,78,1,,
math-uz-6-8-79-1,math,uz,6,8,,79,1,,
math-uz-6-8-80-1,math,uz,6,8,,80,1,,
math-uz-6-9-81-1,math,uz,6,9,,81,1,,
math-uz-6-9-82-1,math,uz,6,9,,82,1,,
math-uz-6-9-83-1,math,uz,6,9,,83,1,,
math-uz-6-9-84-1,math,uz,6,9,,84,1,,
math-uz-6-9-85-1,math,uz,6,9,,85,1,,
math-uz-6-9-86-1,math,uz,6,9,,86,1,,
math-uz-6-9-87-1,math,uz,6,9,,87,1,,
math-uz-6-9-88-1,math,uz,6,9,,88,1,,
math-uz-6-9-89-1,math,uz,6,9,,89,1,,
math-uz-6-9-90-1,math,uz,6,9,,90,1,,
math-uz-6-10-91-1,math,uz,6,10,,91,1,,
math-uz-6-10-92-1,math,uz,6,10,,92,1,,
math-uz-6-10-93-1,math,uz,6,10,,93,1,,
math-uz-6-10-94-1,math,uz,6,10,,94,1,,
math-uz-6-10-95-1,math,uz,6,10,,95,1,,
math-uz-6-10-96-1,math,uz,6,10,,96,1,,
math-uz-6-10-97-1,math,uz,6,10,,97,1,,
math-uz-6-10-98-1,math,uz,6,10,,98,1,,
math-uz-6-10-99-1,math,uz,6,10,,99,1,,
math-uz-6-10-100-1,math,uz,6,10,,100,1,,
