id,subject,language,grade,chapter,chapterName,number,pattern,question,problem,solution
math-uz-6-1-1-6,math,uz,6,1,1-bob,1,6,Hisoblang,"""2*(10+15)""","""50"""
math-uz-6-1-2-6,math,uz,6,1,1-bob,2,6,Hisoblang,"""3{4\over17}*5{2\over3}""","""5{8\over17}"""
math-uz-6-1-3-6,math,uz,6,1,1-bob,3,6,,,
math-uz-6-1-4-6,math,uz,6,1,1-bob,4,6,,,
math-uz-6-1-5-6,math,uz,6,1,1-bob,5,6,,,
math-uz-6-1-6-6,math,uz,6,1,1-bob,6,6,,,
math-uz-6-1-7-6,math,uz,6,1,1-bob,7,6,,,
math-uz-6-1-8-6,math,uz,6,1,1-bob,8,6,,,
math-uz-6-1-9-6,math,uz,6,1,1-bob,9,6,,,
math-uz-6-1-10-6,math,uz,6,1,1-bob,10,6,,,
math-uz-6-2-11-6,math,uz,6,2,2-bob,11,6,,,
math-uz-6-2-12-6,math,uz,6,2,2-bob,12,6,,,
math-uz-6-2-13-6,math,uz,6,2,2-bob,13,6,,,
math-uz-6-2-14-6,math,uz,6,2,2-bob,14,6,,,
math-uz-6-2-15-6,math,uz,6,2,2-bob,15,6,,,
math-uz-6-2-16-6,math,uz,6,2,2-bob,16,6,,,
math-uz-6-2-17-6,math,uz,6,2,2-bob,17,6,,,
math-uz-6-2-18-6,math,uz,6,2,2-bob,18,6,,,
math-uz-6-2-19-6,math,uz,6,2,2-bob,19,6,,,
math-uz-6-2-20-6,math,uz,6,2,2-bob,20,6,,,
math-uz-6-3-21-6,math,uz,6,3,,21,6,,,
math-uz-6-3-22-6,math,uz,6,3,,22,6,,,
math-uz-6-3-23-6,math,uz,6,3,,23,6,,,
math-uz-6-3-24-6,math,uz,6,3,,24,6,,,
math-uz-6-3-25-6,math,uz,6,3,,25,6,,,
math-uz-6-3-26-6,math,uz,6,3,,26,6,,,
math-uz-6-3-27-6,math,uz,6,3,,27,6,,,
math-uz-6-3-28-6,math,uz,6,3,,28,6,,,
math-uz-6-3-29-6,math,uz,6,3,,29,6,,,
math-uz-6-3-30-6,math,uz,6,3,,30,6,,,
math-uz-6-4-31-6,math,uz,6,4,,31,6,,,
math-uz-6-4-32-6,math,uz,6,4,,32,6,,,
math-uz-6-4-33-6,math,uz,6,4,,33,6,,,
math-uz-6-4-34-6,math,uz,6,4,,34,6,,,
math-uz-6-4-35-6,math,uz,6,4,,35,6,,,
math-uz-6-4-36-6,math,uz,6,4,,36,6,,,
math-uz-6-4-37-6,math,uz,6,4,,37,6,,,
math-uz-6-4-38-6,math,uz,6,4,,38,6,,,
math-uz-6-4-39-6,math,uz,6,4,,39,6,,,
math-uz-6-4-40-6,math,uz,6,4,,40,6,,,
math-uz-6-5-41-6,math,uz,6,5,,41,6,,,
math-uz-6-5-42-6,math,uz,6,5,,42,6,,,
math-uz-6-5-43-6,math,uz,6,5,,43,6,,,
math-uz-6-5-44-6,math,uz,6,5,,44,6,,,
math-uz-6-5-45-6,math,uz,6,5,,45,6,,,
math-uz-6-5-46-6,math,uz,6,5,,46,6,,,
math-uz-6-5-47-6,math,uz,6,5,,47,6,,,
math-uz-6-5-48-6,math,uz,6,5,,48,6,,,
math-uz-6-5-49-6,math,uz,6,5,,49,6,,,
math-uz-6-5-50-6,math,uz,6,5,,50,6,,,
math-uz-6-6-51-6,math,uz,6,6,,51,6,,,
math-uz-6-6-52-6,math,uz,6,6,,52,6,,,
math-uz-6-6-53-6,math,uz,6,6,,53,6,,,
math-uz-6-6-54-6,math,uz,6,6,,54,6,,,
math-uz-6-6-55-6,math,uz,6,6,,55,6,,,
math-uz-6-6-56-6,math,uz,6,6,,56,6,,,
math-uz-6-6-57-6,math,uz,6,6,,57,6,,,
math-uz-6-6-58-6,math,uz,6,6,,58,6,,,
math-uz-6-6-59-6,math,uz,6,6,,59,6,,,
math-uz-6-6-60-6,math,uz,6,6,,60,6,,,
math-uz-6-7-61-6,math,uz,6,7,,61,6,,,
math-uz-6-7-62-6,math,uz,6,7,,62,6,,,
math-uz-6-7-63-6,math,uz,6,7,,63,6,,,
math-uz-6-7-64-6,math,uz,6,7,,64,6,,,
math-uz-6-7-65-6,math,uz,6,7,,65,6,,,
math-uz-6-7-66-6,math,uz,6,7,,66,6,,,
math-uz-6-7-67-6,math,uz,6,7,,67,6,,,
math-uz-6-7-68-6,math,uz,6,7,,68,6,,,
math-uz-6-7-69-6,math,uz,6,7,,69,6,,,
math-uz-6-7-70-6,math,uz,6,7,,70,6,,,
math-uz-6-8-71-6,math,uz,6,8,,71,6,,,
